čas	co2	co2 - linearni$
1969.0	324.0	-0.9289403718466929
1969.08	324.42	-0.6187256866305688
1969.15	325.64	0.505212162933276
1969.23	326.66	1.415426848149309
1969.31	327.38	2.025641533365615
1969.38	327.38	1.9295793829292052
1969.46	326.7	1.1397940681454202
1969.54	325.89	0.22000875336152603
1969.61	323.67	-2.096053397074229
1969.69	322.38	-3.495838711858596
1969.77	321.78	-4.205624026642909
1969.85	322.85	-3.2454093414266936
1969.92	324.12	-2.071471491862667
1970.0	325.06	-1.241256806646561
1970.08	325.98	-0.43104212143043696
1970.15	326.93	0.422895728133426
1970.23	328.13	1.5131104133497502
1970.31	328.07	1.343325098565856
1970.38	328.07	1.2472629481294462
1970.46	327.66	0.7274776333451882
1970.54	326.35	-0.6923076814387059
1970.61	324.69	-2.4483698318740608
1970.69	323.1	-4.14815514665861
1970.77	323.07	-4.287940461442304
1970.85	324.01	-3.4577257762266527
1970.92	325.13	-2.433787926662262
1971.0	326.17	-1.5035732414462473
1971.08	326.68	-1.1033585562304324
1971.15	327.18	-0.6994207066668423
1971.23	327.78	-0.20920602145088196
1971.31	328.92	0.8210086637659515
1971.38	328.92	0.7249465133295416
1971.46	328.57	0.2651611985456839
1971.54	327.37	-1.0446241162385377
1971.61	325.43	-3.0806862666745474
1971.69	323.36	-5.260471581458205
1971.77	323.56	-5.170256896242336
1971.85	324.8	-4.040042211026048
1971.92	326.01	-2.9261043614624214
1972.0	326.77	-2.2758896762466065
1972.08	327.63	-1.5256749910299732
1972.15	327.75	-1.5017371414664922
1972.23	329.72	0.35847754374935903
1972.31	330.07	0.5986922289657741
1972.38	330.07	0.502630078529819
1972.46	329.09	-0.5871552362541479
1972.54	328.05	-1.7369405510380602
1972.61	326.32	-3.5630027014740335
1972.69	324.84	-5.152788016258455
1972.77	325.2	-4.9025733310422765
1972.85	326.5	-3.7123586458260434
1972.92	327.55	-2.7584207962622713
1973.0	328.54	-1.8782061110464383
1973.08	329.56	-0.9679914258304052
1973.15	330.3	-0.32405357626612386
1973.23	331.5	0.7661611089497455
1973.31	332.48	1.636375794165815
1973.38	332.48	1.5403136437294052
1973.46	332.07	1.0205283289460567
1973.54	330.87	-0.28925698583816484
1973.61	329.31	-1.9453191362740654
1973.69	327.51	-3.8551044510586507
1973.77	327.18	-4.294889765842527
1973.85	328.16	-3.424675080626457
1973.92	328.64	-3.040737231062394
1974.0	329.35	-2.4405225458463065
1974.08	330.71	-1.1903078606301278
1974.15	331.48	-0.5163700110661011
1974.23	332.65	0.5438446741500229
1974.31	333.09	0.8740593593661288
1974.38	333.09	0.7779972089297189
1974.46	332.25	-0.17178810585437532
1974.54	331.18	-1.3515734206384877
1974.61	329.4	-3.2276355710737334
1974.69	327.44	-5.297420885858173
1974.77	327.37	-5.477206200642286
1974.85	328.46	-4.496991515426089
1974.92	329.58	-3.473053665862153
1975.0	330.4	-2.762838980645938
1975.08	331.41	-1.8626242954301233
1975.15	332.04	-1.328686445866424
1975.23	333.31	-0.16847176065039093
1975.31	333.96	0.3717429245657513
1975.38	333.96	0.2756807741297962
1975.46	333.59	-0.20410454065404338
1975.54	331.91	-1.9938898554382831
1975.61	330.06	-3.9399520058741473
1975.69	328.56	-5.549737320658096
1975.77	328.34	-5.879522635441845
1975.85	329.49	-4.839307950225702
1975.92	330.76	-3.665370100662585
1976.0	331.74	-2.795155415446061
1976.08	332.56	-2.084940730229846
1976.15	333.5	-1.2410028806662012
1976.23	334.58	-0.2707881954502227
1976.31	334.87	-0.09057351023420779
1976.38	334.87	-0.1866356606701629
1976.46	334.34	-0.826420975453857
1976.54	333.05	-2.2262062902377693
1976.61	330.94	-4.432268440673852
1976.69	329.3	-6.182053755458128
1976.77	328.94	-6.651839070241749
1976.85	330.31	-5.391624385025807
1976.92	331.68	-4.117686535462326
1977.0	332.92	-2.9874718502460382
1977.08	333.42	-2.597257165029987
1977.15	334.7	-1.4133193154661967
1977.23	336.07	-0.1531046302497998
1977.31	336.74	0.40711005496632424
1977.38	336.74	0.3110479045299144
1977.46	336.27	-0.26873741025383424
1977.54	334.93	-1.7185227250379285
1977.61	332.75	-3.99458487547372
1977.69	331.58	-5.274370190258196
1977.77	331.16	-5.8041555050422176
1977.85	332.4	-4.67394081982593
1977.92	333.85	-3.320002970262067
1978.0	334.97	-2.3097882850461247
1978.08	335.39	-1.9995735998300006
1978.15	336.64	-0.8456357502664105
1978.23	337.76	0.16457893495044118
1978.31	338.01	0.3047936201664925
1978.38	338.01	0.2087314697300826
1978.46	337.89	-0.021053845054211706
1978.54	336.54	-1.4808391598380695
1978.61	334.68	-3.436901310274152
1978.69	332.76	-5.466686625058173
1978.77	332.54	-5.796471939841922
1978.85	333.92	-4.526257254625762
1978.92	334.95	-3.5923194050619713
1979.0	336.23	-2.42210471984572
1979.08	336.76	-2.0018900346294686
1979.15	337.96	-0.8979521850660603
1979.23	338.89	-0.07773749985017275
1979.31	339.47	0.39247718536626053
1979.38	339.47	0.29641503492985066
1979.46	339.29	0.006629720146065665
1979.54	337.73	-1.6631555946378285
1979.61	336.09	-3.3992177450736563
1979.69	333.91	-5.689003059857896
1979.77	333.86	-5.848788374641572
1979.85	335.29	-4.528573689425684
1979.92	336.73	-3.1846358398620396
1980.0	338.01	-2.014421154645788
1980.08	338.36	-1.774206469429373
1980.15	340.08	-0.15026861986598306
1980.23	340.77	0.4299460653501228
1980.31	341.46	1.0101607505662287
1980.38	341.46	0.9140986001302736
1980.46	341.17	0.5143132853463612
1980.54	339.56	-1.2054720294377148
1980.61	337.6	-3.2615341798737063
1980.69	335.88	-5.09131949465791
1980.77	336.01	-5.071104809441749
1980.85	337.1	-4.090890124225552
1980.92	338.21	-3.076952274661835
1981.0	339.23	-2.166737589445802
1981.08	340.47	-1.0365229042299688
1981.15	341.38	-0.22258505466561473
1981.23	342.51	0.7976296305505457
1981.31	342.91	1.0878443157662332
1981.38	342.91	0.9917821653298233
1981.46	342.25	0.22199685054602014
1981.54	340.49	-1.6477884642372373
1981.61	338.43	-3.8038506146735926
1981.69	336.69	-5.653635929457778
1981.77	336.85	-5.603421244241872
1981.85	338.36	-4.2032065590256025
1981.92	339.61	-3.0492687094615576
1982.0	340.75	-2.0190540242456336
1982.08	341.61	-1.268839339029455
1982.15	342.7	-0.2749014894661741
1982.23	343.56	0.47531319575045927
1982.31	344.13	0.9355278809666743
1982.38	344.13	0.8394657305302644
1982.46	343.35	-0.050319584253884386
1982.54	342.06	-1.4501048990377967
1982.61	339.82	-3.7861670494735336
1982.69	337.97	-5.745952364257391
1982.77	337.86	-5.965737679041467
1982.85	339.26	-4.675522993825325
1982.92	340.49	-3.541585144261262
1983.0	341.37	-2.7713704590455563
