omega	$N=6040$
4.405432262338522531e-02	3.174034895952096491e+01
4.421994037760847845e-02	3.155381044765095666e+01
4.438555813183173160e-02	3.137518752602483474e+01
4.455117588605498474e-02	3.120437429035701982e+01
4.471679364027823789e-02	3.104127082972526708e+01
4.488241139450149103e-02	3.088578312736960996e+01
4.504802914872474418e-02	3.073782296942224690e+01
4.521364690294799732e-02	3.059730786144522696e+01
4.537926465717125046e-02	3.046416095267694146e+01
4.554488241139450361e-02	3.033831096789895199e+01
4.571050016561775675e-02	3.021969214685723415e+01
4.587611791984100990e-02	3.010824419117301076e+01
4.604173567406426304e-02	3.000391221871544190e+01
4.620735342828751618e-02	2.990664672540614788e+01
4.637297118251076933e-02	2.981640355444856638e+01
4.653858893673402247e-02	2.973314387299371120e+01
4.670420669095726868e-02	2.965683415626931563e+01
4.686982444518052182e-02	2.958744617920491038e+01
4.703544219940377497e-02	2.952495701562713037e+01
4.720105995362702811e-02	2.946934904508887598e+01
4.736667770785028125e-02	2.942060996743370183e+01
4.753229546207353440e-02	2.937873282520919460e+01
4.769791321629678754e-02	2.934371603405573481e+01
4.786353097052004069e-02	2.931556342123063175e+01
4.802914872474329383e-02	2.929428427243591315e+01
4.819476647896654697e-02	2.927989338714226264e+01
4.836038423318980012e-02	2.927241114263046384e+01
4.852600198741305326e-02	2.927186356698614134e+01
4.869161974163630641e-02	2.927828242131130310e+01
4.885723749585955955e-02	2.929170529144756330e+01
4.902285525008281269e-02	2.931217568951863583e+01
4.918847300430606584e-02	2.933974316564679086e+01
4.935409075852931898e-02	2.937446343021003514e+01
4.951970851275256519e-02	2.941639848705030502e+01
4.968532626697581833e-02	2.946561677807212831e+01
4.985094402119907148e-02	2.952219333970245074e+01
5.001656177542232462e-02	2.958620997173389711e+01
5.018217952964557776e-02	2.965775541909249924e+01
5.034779728386883091e-02	2.973692556712996549e+01
5.051341503809208405e-02	2.982382365108604461e+01
5.067903279231533720e-02	2.991856048039893423e+01
5.084465054653859034e-02	3.002125467860766506e+01
5.101026830076184349e-02	3.013203293964804885e+01
5.117588605498509663e-02	3.025103030138154736e+01
